665.1.1={holder=1019931617} #Niaina[1009990282]
714.04.26={holder=1019931618} #Odon[1009990282]
733.02.16={holder=1019931621} #Andriantsimitoviaminandriana[1009990282]
747.05.28={holder=1019931624} #Solofo[1009990282]
769.07.16={holder=1019931631} #Tsiory[1009990282]
831.06.01={holder=1019931635} #Andriantsitakatrandriana[1009990282]
836.12.13={holder=1019931640} #Sedera[1009990282]
890.08.14={holder=1019931646} #Andrianasy[1009990282]
900.01.25={holder=1019931647} #Andriamanelo[1009990282]
920.10.10={holder=1019931653} #Anja[1009990282]
944.07.05={holder=1019931655} #Tsilavohery[1009990282]
999.06.19={holder=1019931658} #Haja[1009990282]
1011.07.08={holder=1019931662} #Mandresy[1009990282]
1037.05.28={holder=1019931668} #Haja[1009990282]
1081.10.30={holder=1019931674} #Tombovelo[1009990282]
1103.02.04={holder=1019931676} #Rano[1009990282]
1123.02.12={holder=1019931680} #Andrianary[1009990282]
1165.02.17={holder=1019931684} #Andriantsimitoviaminandriana[1009990282]
1187.02.27={holder=1019931686} #Andriamasinavalona[1009990282]
1223.06.09={holder=1019931691} #Zazaharivelo[1009990282]
1258.11.14={holder=1019931693} #Andriantsitakatrandriana[1009990282]
1272.05.14={holder=1019931696} #Odon[1009990282]
1324.06.06={holder=1019931701} #Andriamanelo[1009990282]
1334.03.22={holder=1019931703} #Razafitiana[1009990282]
1346.09.23={holder=1019931708} #Radama[1009990282]
1395.11.04={holder=1019931711} #Tsiory[1009990282]
1447.05.12={holder=1019931715} #Hamada[1009990282]
1474.06.20={holder=1019931718} #Andrianary[1009990282]
1492.03.12={holder=1019931723} #Lova[1009990282]
1525.11.09={holder=1019931727} #Anja[1009990282]
1564.04.24={holder=1019931731} #Razafitiana[1009990282]
