744.1.1={holder=1019916498} #Horonu[1009990132]
792.01.04={holder=1019916499} #Terhataw[1009990132]
806.02.20={holder=1019916504} #Skahomat[1009990132]
819.09.07={holder=1019916507} #Tuayaurontoyou[1009990132]
853.08.25={holder=1019916510} #Datasay[1009990132]
876.07.16={holder=1019916512} #Dauatout[1009990132]
908.10.20={holder=1019916519} #Teoudetosso[1009990132]
957.10.21={holder=1019916521} #Shaawrunthe[1009990132]
962.12.31={holder=1019916523} #Doueyenteat[1009990132]
1004.10.21={holder=1019916528} #Ahatsistari[1009990132]
1020.11.11={holder=1019916530} #Teyyaghtwa[1009990132]
1067.10.05={holder=1019916535} #Terhataw[1009990132]
1076.02.22={holder=1019916538} #Adario[1009990132]
1125.04.08={holder=1019916540} #Tehaawtorens[1009990132]
1132.07.23={holder=1019916548} #Skotous[1009990132]
1186.03.03={holder=1019916551} #Shaawrunthe[1009990132]
1208.01.08={holder=1019916555} #Dunquat[1009990132]
1210.12.29={holder=1019916558} #Hawdoro[1009990132]
1266.01.28={holder=1019916563} #Shateyyaronyah[1009990132]
1288.09.24={holder=1019916568} #Teyyaghtwa[1009990132]
1323.05.03={holder=1019916571} #Teyandatontec[1009990132]
1340.02.06={holder=1019916574} #Cheyawe[1009990132]
1378.06.26={holder=1019916578} #Tarhe[1009990132]
1385.03.21={holder=1019916582} #Haroenyou[1009990132]
1431.12.14={holder=1019916584} #Teoudetosso[1009990132]
