745.1.1={holder=1019911192} #Mequssuk[1009990079]
784.12.16={holder=1019911194} #Kirima[1009990079]
806.11.21={holder=1019911196} #Kaskae[1009990079]
837.06.17={holder=1019911201} #Qilaq[1009990079]
870.04.04={holder=1019911204} #Kanguyak[1009990079]
876.09.26={holder=1019911207} #Suluk[1009990079]
909.06.25={holder=1019911211} #Iqniq[1009990079]
933.02.03={holder=1019911218} #Nilak[1009990079]
969.10.15={holder=1019911224} #Tiquana[1009990079]
972.11.12={holder=1019911228} #Nerromiktok[1009990079]
986.04.03={holder=1019911233} #Uvlugiaq[1009990079]
1009.06.06={holder=1019911237} #Keyush[1009990079]
1041.05.07={holder=1019911241} #Qaniit[1009990079]
1079.09.14={holder=1019911245} #Tikivik[1009990079]
1092.09.30={holder=1019911249} #Pekartok[1009990079]
1105.07.19={holder=1019911253} #Takiyok[1009990079]
1149.09.29={holder=1019911258} #Ikiaq[1009990079]
1194.03.14={holder=1019911263} #Takubvik[1009990079]
1201.10.20={holder=1019911265} #Tiglikte[1009990079]
1231.03.10={holder=1019911267} #Kanut[1009990079]
1261.10.14={holder=1019911271} #Salaksartok[1009990079]
1293.03.16={holder=1019911276} #Anyu[1009990079]
1299.03.24={holder=1019911282} #Alornerk[1009990079]
1334.07.30={holder=1019911284} #Anuniaq[1009990079]
1371.09.06={holder=1019911287} #Tiglikte[1009990079]
