745.1.1={holder=1019929325} #Cusichaca[1009990261]
807.04.11={holder=1019929326} #Katari[1009990261]
834.08.28={holder=1019929329} #Guaritopa[1009990261]
838.02.04={holder=1019929334} #Ruminavi[1009990261]
878.01.25={holder=1019929339} #Orco[1009990261]
904.07.16={holder=1019929343} #Villac[1009990261]
914.06.11={holder=1019929347} #Pumi[1009990261]
961.07.12={holder=1019929351} #Colla[1009990261]
1000.04.25={holder=1019929356} #Sopa[1009990261]
1004.06.23={holder=1019929362} #Pomaguala[1009990261]
1040.12.15={holder=1019929364} #Orco[1009990261]
1041.06.01={holder=1019929370} #Huachuri[1009990261]
1050.05.31={holder=1019929376} #Yupanqui[1009990261]
1107.12.24={holder=1019929379} #Tucuycuyche[1009990261]
1138.06.13={holder=1019929383} #Cuyuchi[1009990261]
1170.05.26={holder=1019929388} #Tupac[1009990261]
1213.12.02={holder=1019929390} #Colla[1009990261]
1217.07.29={holder=1019929393} #Tucuycuyche[1009990261]
1240.02.13={holder=1019929398} #Sopa[1009990261]
1248.03.30={holder=1019929404} #Cayo[1009990261]
1286.05.21={holder=1019929410} #Taraque[1009990261]
1349.05.02={holder=1019929412} #Guaritopa[1009990261]
1368.05.29={holder=1019929415} #Ruminavi[1009990261]
1376.08.21={holder=1019929422} #Zambiza[1009990261]
1402.02.20={holder=1019929425} #Tupac[1009990261]
