744.1.1={holder=1019929219} #Cuyuchi[1009990260]
774.08.22={holder=1019929220} #Cápac[1009990260]
831.06.26={holder=1019929223} #Pomaguala[1009990260]
846.12.20={holder=1019929225} #Marcavilca[1009990260]
867.11.09={holder=1019929229} #Guaritopa[1009990260]
917.08.29={holder=1019929236} #Zopahua[1009990260]
918.09.02={holder=1019929241} #Yamqui[1009990260]
946.08.22={holder=1019929244} #Túpac[1009990260]
970.10.05={holder=1019929247} #Curiatao[1009990260]
1024.11.03={holder=1019929254} #Sayri[1009990260]
1028.03.23={holder=1019929261} #Atahualpa[1009990260]
1072.01.21={holder=1019929263} #Luyes[1009990260]
1119.12.18={holder=1019929266} #Topa[1009990260]
1151.03.29={holder=1019929271} #Yahuar[1009990260]
1168.10.03={holder=1019929274} #Yupanqui[1009990260]
1207.06.13={holder=1019929281} #Yupanqui[1009990260]
1224.03.28={holder=1019929286} #Zambiza[1009990260]
1238.02.21={holder=1019929293} #Titu[1009990260]
1280.10.03={holder=1019929297} #Cápac[1009990260]
1311.11.30={holder=1019929300} #Huaypalcon[1009990260]
1345.06.17={holder=1019929301} #Sopa[1009990260]
1347.05.18={holder=1019929306} #Inca[1009990260]
1407.12.27={holder=1019929310} #Viracocha[1009990260]
1420.09.30={holder=1019929318} #Luyes[1009990260]
1439.12.11={holder=1019929320} #Mayta[1009990260]
