665.1.1={holder=1019931981} #Diara[1009990285]
699.07.05={holder=1019931982} #Kaya[1009990285]
731.05.26={holder=1019931986} #Dankaran[1009990285]
747.12.28={holder=1019931994} #Soumaba[1009990285]
775.10.16={holder=1019931996} #Maammarou[1009990285]
802.09.08={holder=1019932002} #Bakr-Kanbu[1009990285]
853.09.16={holder=1019932003} #Bankanu[1009990285]
862.12.07={holder=1019932007} #Ouati[1009990285]
898.12.31={holder=1019932009} #Ouati[1009990285]
952.10.07={holder=1019932013} #Yama[1009990285]
955.05.28={holder=1019932017} #Reidja[1009990285]
998.08.12={holder=1019932019} #Bankanu[1009990285]
1007.01.10={holder=1019932022} #Maghan[1009990285]
1054.05.16={holder=1019932025} #Cisse[1009990285]
1066.04.16={holder=1019932027} #Daoud[1009990285]
1111.11.27={holder=1019932032} #Fodi[1009990285]
1146.04.01={holder=1019932039} #Demba[1009990285]
1168.08.26={holder=1019932045} #Manding-Bory[1009990285]
1203.03.23={holder=1019932047} #Nuh[1009990285]
1212.07.27={holder=1019932051} #Bankanu[1009990285]
1255.08.09={holder=1019932054} #Akoi[1009990285]
1257.11.30={holder=1019932058} #Bassi[1009990285]
1323.04.15={holder=1019932061} #Sakoura[1009990285]
1337.11.20={holder=1019932065} #Kaya[1009990285]
1338.01.10={holder=1019932070} #Yasiboy[1009990285]
1382.08.04={holder=1019932071} #Majan[1009990285]
1413.12.30={holder=1019932077} #Fuluku[1009990285]
1446.03.16={holder=1019932083} #Reidja[1009990285]
1478.06.17={holder=1019932086} #Salman[1009990285]
1486.12.19={holder=1019932091} #Kukuray[1009990285]
1527.10.10={holder=1019932092} #Kanafa[1009990285]
