744.1.1={holder=1019929734} #Orco[1009990265]
798.06.03={holder=1019929738} #Ruminavi[1009990265]
830.07.06={holder=1019929739} #Pascac[1009990265]
857.06.26={holder=1019929744} #Tunupa[1009990265]
888.12.01={holder=1019929747} #Coyllas[1009990265]
899.05.02={holder=1019929750} #Katari[1009990265]
950.06.17={holder=1019929753} #Sopa[1009990265]
955.03.07={holder=1019929758} #Cayo[1009990265]
961.11.08={holder=1019929763} #Cayo[1009990265]
1015.12.15={holder=1019929767} #Surandaman[1009990265]
1022.04.18={holder=1019929772} #Titu[1009990265]
1052.06.07={holder=1019929773} #Umu[1009990265]
1099.08.13={holder=1019929777} #Ruminavi[1009990265]
1137.10.02={holder=1019929782} #Yamqui[1009990265]
1164.12.09={holder=1019929787} #Tupac[1009990265]
1186.11.25={holder=1019929793} #Coyllas[1009990265]
1222.05.07={holder=1019929797} #Cusichaca[1009990265]
1253.05.21={holder=1019929801} #Capac[1009990265]
1277.10.25={holder=1019929806} #Titu[1009990265]
1310.04.14={holder=1019929812} #Coyllas[1009990265]
1361.09.18={holder=1019929814} #Huachuri[1009990265]
1368.06.24={holder=1019929821} #Capac[1009990265]
1381.10.21={holder=1019929828} #Pascac[1009990265]
1416.01.22={holder=1019929833} #Guaritopa[1009990265]
1455.09.11={holder=1019929834} #Cari[1009990265]
