745.1.1={holder=1019921728} #Hushtahtahubbe[1009990185]
775.07.06={holder=1019921729} #Ahtokowah[1009990185]
831.10.03={holder=1019921732} #Okelahshahcubbe[1009990185]
856.05.07={holder=1019921734} #Taskietoka[1009990185]
881.08.27={holder=1019921739} #Tahhacubbe[1009990185]
903.02.20={holder=1019921743} #Untihakahtubbe[1009990185]
924.10.27={holder=1019921748} #Ahfahmah[1009990185]
963.03.17={holder=1019921755} #Ninuckahumba[1009990185]
1006.12.27={holder=1019921758} #Tishomingo[1009990185]
1011.01.05={holder=1019921761} #Wininapa[1009990185]
1049.11.03={holder=1019921768} #Immohhobah[1009990185]
1060.10.20={holder=1019921772} #Untihakahtubbe[1009990185]
1096.04.04={holder=1019921778} #Foluttachah[1009990185]
1119.03.06={holder=1019921786} #Ishteahtubbe[1009990185]
1161.01.30={holder=1019921789} #Piomingo[1009990185]
1190.09.10={holder=1019921795} #Mingatuska[1009990185]
1228.06.30={holder=1019921796} #Ashalatubbi[1009990185]
1263.01.07={holder=1019921798} #Taskietoka[1009990185]
1270.10.25={holder=1019921800} #Topulkah[1009990185]
1290.08.11={holder=1019921805} #Bahmehubbe[1009990185]
1317.10.13={holder=1019921807} #Piomingo[1009990185]
1346.12.22={holder=1019921809} #Illuppahhumba[1009990185]
1404.04.27={holder=1019921813} #Okelahnahnubbe[1009990185]
1451.03.08={holder=1019921817} #Ishtehotopa[1009990185]
1460.12.18={holder=1019921820} #Chewutaha[1009990185]
