745.1.1={holder=1019914476} #Huritt[1009990112]
785.08.19={holder=1019914478} #Anakausuen[1009990112]
798.03.27={holder=1019914479} #Matwau[1009990112]
821.04.29={holder=1019914486} #Tihkoosue[1009990112]
848.12.08={holder=1019914490} #Sucki[1009990112]
863.02.18={holder=1019914493} #Abukcheech[1009990112]
927.05.25={holder=1019914497} #Chogan[1009990112]
939.04.25={holder=1019914503} #Segenam[1009990112]
949.11.10={holder=1019914506} #Keme[1009990112]
995.11.17={holder=1019914511} #Enkoodabaoo[1009990112]
996.02.01={holder=1019914515} #Anakausuen[1009990112]
1024.05.08={holder=1019914518} #Mekledoodum[1009990112]
1072.11.14={holder=1019914521} #Nootau[1009990112]
1075.04.13={holder=1019914523} #Abooksigun[1009990112]
1113.01.12={holder=1019914527} #Askuwheteau[1009990112]
1148.07.02={holder=1019914530} #Powaw[1009990112]
1175.07.12={holder=1019914535} #Sucki[1009990112]
1204.08.13={holder=1019914537} #Chogan[1009990112]
1221.03.16={holder=1019914543} #Enkoodabaoo[1009990112]
1258.07.10={holder=1019914547} #Samoset[1009990112]
1264.12.09={holder=1019914549} #Enkoodabaoo[1009990112]
1294.05.25={holder=1019914553} #Machk[1009990112]
1317.06.14={holder=1019914557} #Tihkoosue[1009990112]
1342.01.13={holder=1019914561} #Megedagik[1009990112]
1363.06.11={holder=1019914565} #Pannoowau[1009990112]
