665.1.1={holder=1019931736} #Temaha[1009990283]
725.03.05={holder=1019931737} #Wayan[1009990283]
748.04.26={holder=1019931745} #"Dana-Maulana"[1009990283]
772.02.27={holder=1019931751} #Wayan[1009990283]
780.09.22={holder=1019931753} #"Memet-Sastrawirya"[1009990283]
814.11.17={holder=1019931757} #"Yayan-Sutarya"[1009990283]
835.09.17={holder=1019931761} #Celepa[1009990283]
872.06.22={holder=1019931762} #Zareba[1009990283]
903.01.02={holder=1019931772} #Nurmawan[1009990283]
947.11.29={holder=1019931775} #"Mamam-Somantri"[1009990283]
960.04.18={holder=1019931778} #"Solihin-Poerwanegara"[1009990283]
1000.07.24={holder=1019931782} #"Yayan-Sutarya"[1009990283]
1045.12.12={holder=1019931786} #"Jujun-Suriasumantri"[1009990283]
1047.09.20={holder=1019931792} #Celepa[1009990283]
1054.07.31={holder=1019931797} #Suparman[1009990283]
1090.08.14={holder=1019931800} #"Dana-Maulana"[1009990283]
1117.03.21={holder=1019931807} #"Cecep-Sunardi"[1009990283]
1149.09.04={holder=1019931811} #Nyoman[1009990283]
1165.05.05={holder=1019931814} #"Memet-Sastrawirya"[1009990283]
1177.10.04={holder=1019931818} #"Jujun-Suriasumantri"[1009990283]
1233.05.24={holder=1019931819} #"Yayan-Sutarya"[1009990283]
1248.07.30={holder=1019931823} #Suparman[1009990283]
1287.06.08={holder=1019931833} #"Jujun-Suriasumantri"[1009990283]
1329.07.28={holder=1019931834} #Ketut[1009990283]
1352.10.12={holder=1019931839} #"Maman-Abdurrahman"[1009990283]
1360.03.08={holder=1019931843} #Celak[1009990283]
1419.01.26={holder=1019931847} #"Dudung-Supardi"[1009990283]
1428.05.05={holder=1019931849} #"Ade-Supriyatna"[1009990283]
1444.03.17={holder=1019931851} #"Solihin-Poerwanegara"[1009990283]
1486.01.10={holder=1019931855} #Made[1009990283]
1521.06.06={holder=1019931860} #Nyoman[1009990283]
