744.1.1={holder=1019913375} #Nutamikuesh[1009990101]
764.07.22={holder=1019913376} #Mishen[1009990101]
812.12.22={holder=1019913381} #Akuaukusht[1009990101]
838.11.13={holder=1019913385} #Shinipesht[1009990101]
857.03.23={holder=1019913389} #Unikush[1009990101]
881.12.15={holder=1019913392} #Ussinitshishu[1009990101]
901.08.06={holder=1019913395} #Tshimushuminu[1009990101]
917.02.20={holder=1019913398} #Uniam[1009990101]
967.03.01={holder=1019913402} #Ussinitshishu[1009990101]
968.12.06={holder=1019913404} #Tumassat[1009990101]
990.11.03={holder=1019913408} #Mishta-Napesh[1009990101]
1010.01.05={holder=1019913413} #Mishta-Etuat[1009990101]
1050.08.09={holder=1019913417} #Shuashem[1009990101]
1068.09.12={holder=1019913422} #Uniam[1009990101]
1100.10.10={holder=1019913426} #Meshkana[1009990101]
1114.04.17={holder=1019913429} #Tshishennish[1009990101]
1145.09.28={holder=1019913436} #Shakani[1009990101]
1174.03.27={holder=1019913439} #Atshen[1009990101]
1210.03.24={holder=1019913443} #Kashupasset[1009990101]
1220.07.08={holder=1019913446} #Minapakun[1009990101]
1243.05.13={holder=1019913448} #Mishtauiapeu[1009990101]
1269.12.19={holder=1019913451} #Tshishkuetutsheunnu[1009990101]
1289.11.27={holder=1019913453} #Kapapisht[1009990101]
1332.02.12={holder=1019913457} #Mishta-Napesh[1009990101]
1332.07.10={holder=1019913462} #Uemishtikushiss[1009990101]
