745.1.1={holder=1019913777} #Shushep[1009990105]
781.11.20={holder=1019913778} #Tanien[1009990105]
812.05.29={holder=1019913784} #Minapakun[1009990105]
821.11.02={holder=1019913788} #Minapakun[1009990105]
869.09.06={holder=1019913792} #Katshipunasht[1009990105]
871.12.15={holder=1019913799} #Kashupasset[1009990105]
895.09.29={holder=1019913805} #Mishtauiapeu[1009990105]
950.09.24={holder=1019913807} #Utshimau[1009990105]
973.09.30={holder=1019913812} #Kaniuekutat[1009990105]
989.11.09={holder=1019913816} #Ukueiau[1009990105]
997.01.25={holder=1019913821} #Shimiu[1009990105]
1030.06.02={holder=1019913824} #Aissimess[1009990105]
1057.04.20={holder=1019913826} #Shuashem[1009990105]
1110.04.24={holder=1019913831} #Tshishennish[1009990105]
1141.12.28={holder=1019913833} #Pikutushan[1009990105]
1163.05.05={holder=1019913835} #Uashaunnu[1009990105]
1178.10.29={holder=1019913838} #Pekissiu[1009990105]
1216.10.30={holder=1019913845} #Kapapisht[1009990105]
1231.05.09={holder=1019913854} #Akuaukusht[1009990105]
1258.01.27={holder=1019913855} #Apinam[1009990105]
1310.10.02={holder=1019913859} #Mishen[1009990105]
1317.02.21={holder=1019913863} #Tshanitshish[1009990105]
1352.08.28={holder=1019913872} #Utanukueu[1009990105]
1360.12.14={holder=1019913876} #Mitshishu[1009990105]
1402.06.03={holder=1019913881} #Ashtunishish[1009990105]
