745.1.1={holder=1019915664} #Kockkockquas[1009990124]
805.11.06={holder=1019915665} #Kithteeleland[1009990124]
824.04.07={holder=1019915672} #Queshatowha[1009990124]
828.05.05={holder=1019915676} #Neshapanacumin[1009990124]
871.11.05={holder=1019915679} #Alimee[1009990124]
873.06.24={holder=1019915685} #Tetabuxike[1009990124]
938.05.22={holder=1019915692} #Gelelemend[1009990124]
970.08.17={holder=1019915698} #Petchekekapon[1009990124]
985.08.08={holder=1019915699} #Gelelemend[1009990124]
1045.12.20={holder=1019915702} #Neconhecond[1009990124]
1053.08.14={holder=1019915705} #Pondoxy[1009990124]
1080.02.01={holder=1019915709} #Ahlaachick[1009990124]
1084.03.26={holder=1019915711} #Quacornowha[1009990124]
1134.05.20={holder=1019915712} #Netahopuna[1009990124]
1161.01.06={holder=1019915716} #Tunis[1009990124]
1166.02.07={holder=1019915723} #Tomaguee[1009990124]
1186.03.14={holder=1019915726} #Queshatowha[1009990124]
1212.07.12={holder=1019915731} #Neolin[1009990124]
1235.01.23={holder=1019915735} #Queshatowha[1009990124]
1267.03.30={holder=1019915740} #Quacornowha[1009990124]
1300.05.11={holder=1019915743} #Quenaghtoothmait[1009990124]
1341.08.14={holder=1019915747} #Sarcoxey[1009990124]
1343.12.20={holder=1019915752} #Rockatowah[1009990124]
1390.01.05={holder=1019915757} #Petchenanalas[1009990124]
1429.11.04={holder=1019915761} #Queshatowha[1009990124]
