665.1.1={holder=1019930739} #Villac[1009990275]
715.07.16={holder=1019930742} #Coyllas[1009990275]
760.11.18={holder=1019930743} #Pomaguala[1009990275]
784.07.29={holder=1019930749} #Anquimarca[1009990275]
837.01.25={holder=1019930751} #Taraque[1009990275]
848.04.16={holder=1019930754} #Sahuaraura[1009990275]
886.10.12={holder=1019930757} #Anquimarca[1009990275]
928.06.15={holder=1019930761} #Huaypalcon[1009990275]
938.07.25={holder=1019930764} #Ninan[1009990275]
976.02.02={holder=1019930769} #Atoc[1009990275]
977.11.26={holder=1019930773} #Taraque[1009990275]
1008.04.12={holder=1019930778} #Ninan[1009990275]
1023.01.12={holder=1019930782} #Ruminavi[1009990275]
1054.04.16={holder=1019930789} #Huachuri[1009990275]
1077.07.08={holder=1019930792} #Ninan[1009990275]
1118.05.06={holder=1019930796} #Marcavilca[1009990275]
1139.01.14={holder=1019930800} #Cuyuchi[1009990275]
1184.05.08={holder=1019930803} #Sopa[1009990275]
1198.12.27={holder=1019930807} #Pascac[1009990275]
1228.06.12={holder=1019930809} #Atoc[1009990275]
1272.11.11={holder=1019930812} #Usca[1009990275]
1300.01.28={holder=1019930817} #Coyllas[1009990275]
1340.02.16={holder=1019930819} #Zopahua[1009990275]
1342.11.14={holder=1019930825} #Ninan[1009990275]
1371.07.04={holder=1019930830} #Atoc[1009990275]
1397.07.04={holder=1019930838} #Topa[1009990275]
1415.04.01={holder=1019930843} #Taraque[1009990275]
1435.02.27={holder=1019930846} #Pumi[1009990275]
1474.04.09={holder=1019930849} #Titu[1009990275]
1508.05.07={holder=1019930854} #Pomaguala[1009990275]
1532.06.30={holder=1019930860} #Cusichaca[1009990275]
1533.01.27={holder=1019930862} #Mayta[1009990275]
1579.11.11={holder=1019930865} #Titu[1009990275]
