745.1.1={holder=1019910779} #Inungoark[1009990075]
769.07.19={holder=1019910780} #Ulva[1009990075]
803.12.05={holder=1019910787} #Hiin[1009990075]
844.04.06={holder=1019910791} #Uvlugiaq[1009990075]
852.10.04={holder=1019910795} #Biisaiyowaq[1009990075]
863.06.23={holder=1019910797} #Qimukti[1009990075]
912.02.08={holder=1019910804} #Karpok[1009990075]
932.04.23={holder=1019910805} #Arrluk[1009990075]
961.01.16={holder=1019910810} #Chugach[1009990075]
980.11.17={holder=1019910814} #Koko[1009990075]
1023.08.24={holder=1019910817} #Sos[1009990075]
1053.07.04={holder=1019910820} #Miki[1009990075]
1055.01.24={holder=1019910826} #Sos[1009990075]
1083.01.09={holder=1019910832} #Kunikpok[1009990075]
1132.08.24={holder=1019910837} #Noatak[1009990075]
1139.02.18={holder=1019910839} #Nannuraluk[1009990075]
1172.04.05={holder=1019910841} #Massak[1009990075]
1193.06.08={holder=1019910848} #Tukkuttok[1009990075]
1218.12.08={holder=1019910852} #Sivudlerk[1009990075]
1239.01.05={holder=1019910856} #Sura[1009990075]
1257.07.24={holder=1019910862} #Onartok[1009990075]
1283.03.10={holder=1019910864} #Iluak[1009990075]
1302.12.27={holder=1019910871} #Quvianuq[1009990075]
1346.01.15={holder=1019910876} #Nutaaq[1009990075]
1356.04.19={holder=1019910880} #Kingudlerk[1009990075]
