744.1.1={holder=1019911294} #Koko[1009990080]
768.08.21={holder=1019911295} #Akna[1009990080]
795.01.26={holder=1019911297} #Desna[1009990080]
831.10.27={holder=1019911299} #Akiak[1009990080]
863.02.18={holder=1019911303} #Suluk[1009990080]
890.10.13={holder=1019911309} #Tukkuttok[1009990080]
895.04.28={holder=1019911313} #Iluak[1009990080]
920.01.05={holder=1019911320} #Kamik[1009990080]
936.08.05={holder=1019911324} #Qeorvik[1009990080]
992.12.06={holder=1019911327} #Arjalinerk[1009990080]
1020.09.08={holder=1019911334} #Siarut[1009990080]
1031.12.15={holder=1019911339} #Tattilgat[1009990080]
1045.04.11={holder=1019911344} #Quvianuq[1009990080]
1094.01.22={holder=1019911347} #Itigiaq[1009990080]
1092.12.21={holder=1019911351} #Ikiaq[1009990080]
1121.10.29={holder=1019911354} #Iluliaq[1009990080]
1143.12.13={holder=1019911358} #sinniktok[1009990080]
1184.09.04={holder=1019911362} #Aituserk[1009990080]
1216.10.19={holder=1019911366} #Iglopuk[1009990080]
1226.10.23={holder=1019911370} #Tiquana[1009990080]
1260.01.02={holder=1019911377} #Qimugkauyar[1009990080]
1278.05.15={holder=1019911381} #Tiilaqiia[1009990080]
1310.08.14={holder=1019911386} #Iyaroak[1009990080]
1346.05.31={holder=1019911393} #Massak[1009990080]
1357.06.25={holder=1019911395} #Uvlugiaq[1009990080]
