745.1.1={holder=1019922407} #Kaigouchi[1009990192]
798.01.07={holder=1019922408} #Laliwa[1009990192]
825.03.01={holder=1019922412} #Haubariria[1009990192]
851.06.01={holder=1019922416} #Ilumani[1009990192]
873.08.15={holder=1019922418} #Haubariria[1009990192]
908.09.03={holder=1019922422} #Arah[1009990192]
915.12.15={holder=1019922428} #Pirijá[1009990192]
954.09.09={holder=1019922435} #Áhari[1009990192]
971.12.27={holder=1019922440} #Mbicy[1009990192]
1014.02.28={holder=1019922445} #Áhari[1009990192]
1014.09.15={holder=1019922451} #Haubariria[1009990192]
1064.04.16={holder=1019922454} #Áhari[1009990192]
1098.11.20={holder=1019922457} #Haubariria[1009990192]
1127.10.11={holder=1019922464} #Arata[1009990192]
1128.12.06={holder=1019922466} #Gunfuli[1009990192]
1195.09.19={holder=1019922470} #Shoko[1009990192]
1251.05.03={holder=1019922472} #Haubariria[1009990192]
1262.05.14={holder=1019922476} #Laliwa[1009990192]
1279.06.16={holder=1019922480} #Áhari[1009990192]
1301.09.14={holder=1019922482} #Pirijá[1009990192]
1325.04.06={holder=1019922484} #Toruí[1009990192]
1345.12.01={holder=1019922486} #Haubariria[1009990192]
1364.05.06={holder=1019922491} #Semén[1009990192]
1383.05.20={holder=1019922495} #Mbicy[1009990192]
1440.07.12={holder=1019922499} #Arah[1009990192]
