744.1.1={holder=1019911399} #Irdlirvirisissong[1009990081]
781.12.10={holder=1019911400} #Pukulria[1009990081]
790.03.03={holder=1019911405} #Aukaneck[1009990081]
831.07.04={holder=1019911410} #Tikaani[1009990081]
863.05.15={holder=1019911411} #Nannuraluk[1009990081]
866.04.19={holder=1019911414} #Mequssuk[1009990081]
897.11.28={holder=1019911420} #Iglopuk[1009990081]
919.03.07={holder=1019911422} #Deniigi[1009990081]
958.02.04={holder=1019911424} #Nerromiktok[1009990081]
953.12.25={holder=1019911428} #Anuniaq[1009990081]
994.08.23={holder=1019911432} #Sinaaq[1009990081]
1019.12.04={holder=1019911439} #Asiavik[1009990081]
1053.08.17={holder=1019911444} #Alornerk[1009990081]
1069.12.09={holder=1019911446} #Torngasak[1009990081]
1113.05.28={holder=1019911454} #Umiaktorvik[1009990081]
1129.01.19={holder=1019911457} #Kanguyak[1009990081]
1155.04.27={holder=1019911462} #Anernerk[1009990081]
1183.01.20={holder=1019911465} #Aukaneck[1009990081]
1212.03.16={holder=1019911469} #Piktaungitok[1009990081]
1258.08.07={holder=1019911472} #Torngasak[1009990081]
1270.04.09={holder=1019911479} #Suka[1009990081]
1296.02.21={holder=1019911484} #Ipiktok[1009990081]
1330.07.19={holder=1019911485} #Karpok[1009990081]
1342.11.07={holder=1019911490} #Nanuq[1009990081]
1367.07.14={holder=1019911491} #Koko[1009990081]
