744.1.1={holder=1019910886} #Iyaroak[1009990076]
776.03.25={holder=1019910889} #Akkikiktok[1009990076]
793.12.31={holder=1019910894} #Sirmiq[1009990076]
833.08.05={holder=1019910895} #Kakortok[1009990076]
871.03.01={holder=1019910901} #Mequssuk[1009990076]
877.08.06={holder=1019910908} #Aningan[1009990076]
908.04.19={holder=1019910912} #Kunikpok[1009990076]
941.09.08={holder=1019910917} #Anernerk[1009990076]
996.10.31={holder=1019910920} #Miki[1009990076]
986.10.06={holder=1019910922} #Kassuq[1009990076]
1004.01.03={holder=1019910925} #Akrittok[1009990076]
1056.01.17={holder=1019910932} #Kattituyok[1009990076]
1079.09.15={holder=1019910937} #Uiritsaktak[1009990076]
1079.11.29={holder=1019910942} #Nertornartok[1009990076]
1117.10.23={holder=1019910945} #Issudlerk[1009990076]
1136.08.09={holder=1019910950} #Ataninnuaq[1009990076]
1170.10.13={holder=1019910954} #Biisaiyowaq[1009990076]
1180.04.29={holder=1019910956} #Anuun[1009990076]
1224.08.14={holder=1019910958} #Nukilik[1009990076]
1241.07.23={holder=1019910960} #Tulugaq[1009990076]
1251.02.19={holder=1019910965} #Tingenek[1009990076]
1300.08.17={holder=1019910970} #Tunerk[1009990076]
1297.01.08={holder=1019910973} #Negiliq[1009990076]
1326.02.20={holder=1019910977} #Annakpok[1009990076]
1355.02.17={holder=1019910981} #Manirak[1009990076]
