744.1.1={holder=1019913573} #Pipitsheu[1009990103]
784.09.23={holder=1019913574} #Kuekuatsheu[1009990103]
803.04.16={holder=1019913578} #Kaminaushit[1009990103]
832.09.21={holder=1019913582} #Akuaukusht[1009990103]
854.01.25={holder=1019913588} #Mitshishu[1009990103]
881.07.06={holder=1019913592} #Tshimushuminu[1009990103]
921.10.18={holder=1019913596} #Shimiu[1009990103]
935.08.21={holder=1019913601} #Shinipesht[1009990103]
977.06.25={holder=1019913604} #Tshakashue[1009990103]
999.01.07={holder=1019913610} #Mitshishu[1009990103]
1034.05.25={holder=1019913614} #Tshim[1009990103]
1048.02.05={holder=1019913617} #Kaniuekutat[1009990103]
1055.04.15={holder=1019913622} #Kapapisht[1009990103]
1068.04.15={holder=1019913628} #Upinau[1009990103]
1126.10.25={holder=1019913633} #Emish[1009990103]
1142.09.12={holder=1019913636} #Uemishtikushiss[1009990103]
1180.09.15={holder=1019913641} #Katshinukapaut[1009990103]
1199.01.30={holder=1019913645} #Napess[1009990103]
1203.04.03={holder=1019913649} #Tshakashue[1009990103]
1236.12.25={holder=1019913654} #Kaniuekutat[1009990103]
1272.11.03={holder=1019913657} #Uniam[1009990103]
1304.06.20={holder=1019913661} #Shuashem[1009990103]
1315.10.25={holder=1019913667} #Mishtauiapeu[1009990103]
1328.11.01={holder=1019913669} #Ussinitshishu[1009990103]
1361.05.16={holder=1019913673} #Shakani[1009990103]
