745.1.1={holder=1019911493} #Asungaq[1009990082]
768.12.29={holder=1019911494} #Tiilaqiia[1009990082]
789.10.15={holder=1019911499} #Iluq[1009990082]
823.03.17={holder=1019911504} #Sinaaq[1009990082]
840.06.30={holder=1019911508} #Ikniqpalagaq[1009990082]
863.04.23={holder=1019911512} #Unalaq[1009990082]
904.01.07={holder=1019911516} #Siku[1009990082]
929.07.09={holder=1019911520} #Issumatar[1009990082]
968.10.22={holder=1019911522} #Pamiiruq[1009990082]
987.02.13={holder=1019911527} #Akluitok[1009990082]
1011.02.03={holder=1019911533} #Tekkeitsertok[1009990082]
1022.09.11={holder=1019911537} #Qatqain[1009990082]
1076.07.12={holder=1019911541} #Nerromiktok[1009990082]
1085.01.02={holder=1019911544} #Massak[1009990082]
1134.06.17={holder=1019911546} #Kannoyak[1009990082]
1154.10.19={holder=1019911549} #Piktaungitok[1009990082]
1166.06.14={holder=1019911553} #Aumanil[1009990082]
1202.11.04={holder=1019911554} #Aguta[1009990082]
1232.12.28={holder=1019911558} #Tulugaq[1009990082]
1239.05.10={holder=1019911562} #Maniitok[1009990082]
1263.11.22={holder=1019911565} #Kaskae[1009990082]
1307.10.12={holder=1019911568} #Mequssuk[1009990082]
1318.06.21={holder=1019911576} #Aumanil[1009990082]
1343.03.08={holder=1019911580} #Iyaroak[1009990082]
1372.09.20={holder=1019911582} #Aituserk[1009990082]
