744.1.1={holder=1019929011} #Taraque[1009990258]
795.09.03={holder=1019929012} #Pomaguala[1009990258]
797.09.27={holder=1019929019} #Túpac[1009990258]
843.06.11={holder=1019929023} #Ruminavi[1009990258]
871.07.19={holder=1019929027} #Usca[1009990258]
891.02.16={holder=1019929031} #Usca[1009990258]
927.12.06={holder=1019929038} #Huayna[1009990258]
937.04.09={holder=1019929040} #Coyllas[1009990258]
995.09.24={holder=1019929048} #Cápac[1009990258]
1010.09.17={holder=1019929050} #Roca[1009990258]
1056.08.24={holder=1019929054} #Túpac[1009990258]
1068.09.11={holder=1019929056} #Zambiza[1009990258]
1080.06.04={holder=1019929059} #Sahuaraura[1009990258]
1109.02.07={holder=1019929066} #Zopahua[1009990258]
1151.10.12={holder=1019929070} #Villac[1009990258]
1167.10.10={holder=1019929077} #Huachuri[1009990258]
1205.05.11={holder=1019929082} #Huayna[1009990258]
1209.02.22={holder=1019929088} #Umu[1009990258]
1261.12.12={holder=1019929089} #Cayo[1009990258]
1294.10.04={holder=1019929095} #Cápac[1009990258]
1321.10.24={holder=1019929100} #Pomaguala[1009990258]
1325.01.26={holder=1019929106} #Titu[1009990258]
1360.12.12={holder=1019929110} #Huayna[1009990258]
1375.04.07={holder=1019929112} #Hacuac[1009990258]
1406.01.12={holder=1019929115} #Inca[1009990258]
