664.1.1={holder=1019930869} #Aggur[1009990276]
717.08.14={holder=1019930870} #Hashim[1009990276]
738.06.29={holder=1019930875} #Aghecher[1009990276]
770.07.02={holder=1019930879} #Awzal[1009990276]
773.07.20={holder=1019930883} #Issam[1009990276]
813.10.01={holder=1019930887} #Yugurthen[1009990276]
821.05.16={holder=1019930892} #Mastanabal[1009990276]
856.02.11={holder=1019930897} #Marwan[1009990276]
893.06.05={holder=1019930900} #Buwayh[1009990276]
922.08.07={holder=1019930902} #Al'a'addin[1009990276]
927.01.24={holder=1019930909} #Watt'as[1009990276]
983.05.13={holder=1019930911} #Abdul-Kareem[1009990276]
992.05.02={holder=1019930918} #Ahamatu[1009990276]
1035.07.14={holder=1019930921} #Ugdada[1009990276]
1073.01.10={holder=1019930925} #Mahtar[1009990276]
1075.06.09={holder=1019930931} #Amayas[1009990276]
1123.11.02={holder=1019930933} #Muh'end[1009990276]
1126.03.16={holder=1019930936} #Niptasan[1009990276]
1145.12.01={holder=1019930940} #Ghanim[1009990276]
1196.03.05={holder=1019930945} #Yuva[1009990276]
1201.08.30={holder=1019930952} #Magsen[1009990276]
1229.05.19={holder=1019930958} #Tiljad[1009990276]
1271.10.02={holder=1019930964} #Yuba[1009990276]
1320.11.20={holder=1019930966} #Gulusa[1009990276]
1346.09.02={holder=1019930970} #Aghilas[1009990276]
1357.05.28={holder=1019930974} #Immel[1009990276]
1405.08.17={holder=1019930976} #Salomon[1009990276]
1449.10.26={holder=1019930977} #Isli[1009990276]
1464.08.21={holder=1019930983} #Ali[1009990276]
1501.09.16={holder=1019930988} #Atissi[1009990276]
1501.11.18={holder=1019930991} #Gaya[1009990276]
1522.05.05={holder=1019931001} #Zafir[1009990276]
1593.09.28={holder=1019931002} #Frawsen[1009990276]
