745.1.1={holder=1019915964} #Askook[1009990127]
799.10.14={holder=1019915965} #Chogan[1009990127]
820.07.19={holder=1019915967} #Keme[1009990127]
837.11.09={holder=1019915975} #Nootau[1009990127]
868.03.28={holder=1019915977} #Keme[1009990127]
897.04.15={holder=1019915984} #Achak[1009990127]
911.05.31={holder=1019915993} #Rowtag[1009990127]
985.05.18={holder=1019915997} #Togquos[1009990127]
1014.12.19={holder=1019916003} #Chogan[1009990127]
1036.10.16={holder=1019916008} #Tihkoosue[1009990127]
1067.06.08={holder=1019916012} #Achak[1009990127]
1070.08.11={holder=1019916016} #Sunukkuhkau[1009990127]
1090.04.17={holder=1019916020} #Matunaaga[1009990127]
1151.11.03={holder=1019916022} #Tihkoosue[1009990127]
1156.08.27={holder=1019916026} #Matchitisiw[1009990127]
1223.03.12={holder=1019916032} #Matunaaga[1009990127]
1235.03.02={holder=1019916034} #Segenam[1009990127]
1263.11.17={holder=1019916038} #Ahanu[1009990127]
1289.06.19={holder=1019916042} #Nonosbawsut[1009990127]
1307.12.09={holder=1019916047} #Nootau[1009990127]
1327.09.18={holder=1019916052} #Huritt[1009990127]
1352.05.18={holder=1019916056} #Hassun[1009990127]
1384.09.19={holder=1019916060} #Abukcheech[1009990127]
1417.10.29={holder=1019916063} #Keme[1009990127]
1461.04.05={holder=1019916065} #Abukcheech[1009990127]
