744.1.1={holder=1019913174} #Apinam[1009990099]
765.03.23={holder=1019913175} #Kaniuekutat[1009990099]
806.07.20={holder=1019913182} #Shinapiu[1009990099]
824.07.27={holder=1019913183} #Kaniuekutat[1009990099]
871.12.08={holder=1019913185} #Ukueiau[1009990099]
874.10.06={holder=1019913189} #Tanien[1009990099]
893.11.05={holder=1019913193} #Matiu[1009990099]
950.08.17={holder=1019913196} #Akuaukusht[1009990099]
962.12.16={holder=1019913198} #Maikan[1009990099]
993.01.23={holder=1019913202} #Kutshinapess[1009990099]
1026.09.20={holder=1019913205} #Uatshitshish[1009990099]
1038.09.07={holder=1019913210} #Tumassat[1009990099]
1081.11.20={holder=1019913212} #Shimiu[1009990099]
1103.08.16={holder=1019913217} #Uitshitshimushish[1009990099]
1130.02.02={holder=1019913221} #Kaminaushit[1009990099]
1177.03.02={holder=1019913223} #Shimiu[1009990099]
1177.10.19={holder=1019913228} #Shinapiu[1009990099]
1202.04.01={holder=1019913235} #Kauitshi-Katshinat[1009990099]
1210.10.21={holder=1019913238} #Kashupasset[1009990099]
1249.05.29={holder=1019913243} #Mitshishu[1009990099]
1262.01.04={holder=1019913247} #Kapapisht[1009990099]
1294.04.14={holder=1019913249} #Ussinitshishu[1009990099]
1306.07.14={holder=1019913255} #Utshimauapeu[1009990099]
1337.08.31={holder=1019913260} #Uashaunnu[1009990099]
1369.02.26={holder=1019913266} #Tumassat[1009990099]
