744.1.1={holder=1019914680} #Sucki[1009990114]
778.09.27={holder=1019914681} #Samoset[1009990114]
806.10.13={holder=1019914685} #Etlelooaat[1009990114]
847.06.25={holder=1019914688} #Matwau[1009990114]
861.02.12={holder=1019914693} #Matwau[1009990114]
872.11.05={holder=1019914697} #Mingan[1009990114]
916.02.28={holder=1019914699} #Segenam[1009990114]
941.10.06={holder=1019914706} #Enkoodabaoo[1009990114]
960.06.16={holder=1019914711} #Matunaagd[1009990114]
982.09.19={holder=1019914713} #Achachak[1009990114]
997.03.05={holder=1019914717} #Hassun[1009990114]
1015.09.22={holder=1019914722} #Pannoowau[1009990114]
1050.04.03={holder=1019914725} #Tihkoosue[1009990114]
1073.07.24={holder=1019914730} #Matunaagd[1009990114]
1116.12.13={holder=1019914733} #Aranck[1009990114]
1131.04.04={holder=1019914737} #Keme[1009990114]
1139.07.24={holder=1019914739} #Abooksigun[1009990114]
1190.01.06={holder=1019914743} #Powaw[1009990114]
1203.05.25={holder=1019914747} #Nixkamich[1009990114]
1243.03.22={holder=1019914752} #Matchitehew[1009990114]
1265.02.24={holder=1019914755} #Huritt[1009990114]
1311.06.19={holder=1019914758} #Kitchi[1009990114]
1313.07.12={holder=1019914765} #Nootau[1009990114]
1330.10.06={holder=1019914768} #Anakausuen[1009990114]
1368.12.07={holder=1019914772} #Matwau[1009990114]
