745.1.1={holder=1019914870} #Uitshitshimushish[1009990116]
783.10.21={holder=1019914871} #Pineshikan[1009990116]
785.01.22={holder=1019914875} #Manuk[1009990116]
820.11.27={holder=1019914878} #Ninitshitau[1009990116]
836.07.22={holder=1019914884} #Tshishennish[1009990116]
859.12.08={holder=1019914889} #Pineshikan[1009990116]
911.09.12={holder=1019914893} #Uapannish[1009990116]
926.09.26={holder=1019914897} #Tshetshepateu[1009990116]
949.06.17={holder=1019914902} #Petapanu[1009990116]
965.01.01={holder=1019914907} #Kenussemu[1009990116]
1010.10.31={holder=1019914909} #Tshenish[1009990116]
1020.02.18={holder=1019914914} #Mistipinip[1009990116]
1032.08.11={holder=1019914918} #Kueskapeu[1009990116]
1075.09.18={holder=1019914922} #Ustinitshu[1009990116]
1095.03.18={holder=1019914925} #Ustinitshu[1009990116]
1113.12.28={holder=1019914929} #Ninitshitau[1009990116]
1143.05.28={holder=1019914933} #Uapannish[1009990116]
1176.06.04={holder=1019914938} #Manish[1009990116]
1192.09.10={holder=1019914942} #Ustinitshu[1009990116]
1219.01.19={holder=1019914947} #Shushepis[1009990116]
1260.07.18={holder=1019914952} #Kenussemu[1009990116]
1271.11.04={holder=1019914954} #Mistipinip[1009990116]
1296.08.20={holder=1019914959} #Kanikuen[1009990116]
1333.03.26={holder=1019914967} #Nashitt[1009990116]
1341.04.12={holder=1019914970} #Manuk[1009990116]
