744.1.1={holder=1019911975} #Aumanil[1009990087]
784.05.05={holder=1019911976} #Tungortok[1009990087]
794.11.17={holder=1019911981} #Nauja[1009990087]
837.05.04={holder=1019911982} #Saghani[1009990087]
868.11.24={holder=1019911984} #Palartok[1009990087]
880.01.31={holder=1019911989} #Akiak[1009990087]
902.10.25={holder=1019911992} #Suinnak[1009990087]
939.07.05={holder=1019911999} #Kesuk[1009990087]
974.03.21={holder=1019912001} #Nanuq[1009990087]
993.01.05={holder=1019912004} #Igalaq[1009990087]
1026.03.11={holder=1019912006} #Nanuq[1009990087]
1038.01.26={holder=1019912010} #Tootega[1009990087]
1076.05.09={holder=1019912011} #Kuvageegai[1009990087]
1088.02.19={holder=1019912014} #Unalaq[1009990087]
1127.01.17={holder=1019912021} #Purnaq[1009990087]
1158.09.17={holder=1019912025} #Kunikpok[1009990087]
1181.04.20={holder=1019912030} #Nasamiituuq[1009990087]
1188.09.30={holder=1019912032} #Nerromiktok[1009990087]
1222.11.10={holder=1019912033} #Kingudlerk[1009990087]
1255.06.15={holder=1019912038} #Kakortok[1009990087]
1276.01.22={holder=1019912039} #Iluq[1009990087]
1313.03.24={holder=1019912047} #Aningan[1009990087]
1331.12.25={holder=1019912053} #Tipvigut[1009990087]
1360.06.24={holder=1019912057} #Pamiiyok[1009990087]
1362.01.14={holder=1019912062} #Iluliaq[1009990087]
