744.1.1={holder=1019917389} #Keme[1009990141]
781.02.09={holder=1019917390} #Machk[1009990141]
812.01.22={holder=1019917395} #Matchitehew[1009990141]
862.12.19={holder=1019917398} #Powaw[1009990141]
886.09.25={holder=1019917400} #Sucki[1009990141]
891.08.27={holder=1019917404} #Tihkoosue[1009990141]
931.05.07={holder=1019917407} #Matunaagd[1009990141]
947.08.05={holder=1019917411} #Matchitehew[1009990141]
995.05.25={holder=1019917416} #Achachak[1009990141]
1025.11.18={holder=1019917421} #Nixkamich[1009990141]
1050.01.02={holder=1019917426} #Anakausuen[1009990141]
1060.10.26={holder=1019917429} #Samoset[1009990141]
1086.02.14={holder=1019917431} #Kitchi[1009990141]
1147.06.21={holder=1019917433} #Ahanu[1009990141]
1153.12.10={holder=1019917437} #Chogan[1009990141]
1183.02.08={holder=1019917439} #Kitchi[1009990141]
1227.07.12={holder=1019917443} #Machk[1009990141]
1227.08.07={holder=1019917448} #Matchitehew[1009990141]
1273.01.27={holder=1019917452} #Sunukkuhkau[1009990141]
1314.03.09={holder=1019917458} #Chogan[1009990141]
1340.05.20={holder=1019917465} #Wematin[1009990141]
1363.05.30={holder=1019917472} #Mingan[1009990141]
1377.07.07={holder=1019917475} #Kitchi[1009990141]
1388.01.20={holder=1019917478} #Aranck[1009990141]
1405.07.03={holder=1019917479} #Megedagik[1009990141]
