744.1.1={holder=1019912479} #Katshinukapaut[1009990092]
789.11.27={holder=1019912480} #Atiku[1009990092]
807.10.28={holder=1019912484} #Mitshishu[1009990092]
817.06.18={holder=1019912488} #Shushep[1009990092]
866.12.19={holder=1019912490} #Utanukueu[1009990092]
875.04.19={holder=1019912499} #Kanishutakashtasht[1009990092]
919.05.15={holder=1019912502} #Uatshitshish[1009990092]
920.01.09={holder=1019912508} #Akuaukusht[1009990092]
953.07.21={holder=1019912513} #Tshim[1009990092]
987.04.28={holder=1019912518} #Tshishennish[1009990092]
1021.08.18={holder=1019912521} #Uitshikapeu[1009990092]
1034.04.22={holder=1019912525} #Tshishennish[1009990092]
1072.02.18={holder=1019912526} #Natupaniu[1009990092]
1076.01.15={holder=1019912528} #Nutamikuesh[1009990092]
1096.01.02={holder=1019912531} #Uitshitshimushish[1009990092]
1129.03.24={holder=1019912535} #Atshen[1009990092]
1152.06.16={holder=1019912538} #Mishta-Napesh[1009990092]
1188.03.08={holder=1019912542} #Shakani[1009990092]
1208.10.04={holder=1019912545} #Tanien[1009990092]
1223.06.02={holder=1019912552} #Manitesh[1009990092]
1242.08.23={holder=1019912556} #Pien[1009990092]
1294.05.16={holder=1019912558} #Kapapisht[1009990092]
1308.10.07={holder=1019912563} #Uitshitshimushish[1009990092]
1346.03.07={holder=1019912570} #Kaminaushit[1009990092]
1375.11.03={holder=1019912573} #Katshipunasht[1009990092]
