745.1.1={holder=1019913271} #Tshishkuetutsheunnu[1009990100]
781.05.09={holder=1019913272} #Pitan[1009990100]
811.11.28={holder=1019913276} #Shinapiu[1009990100]
819.12.23={holder=1019913280} #Atamakaniss[1009990100]
843.02.14={holder=1019913284} #Kutshinapess[1009990100]
857.01.09={holder=1019913287} #Kapapisht[1009990100]
899.08.28={holder=1019913292} #Uitshitshimushish[1009990100]
941.04.30={holder=1019913294} #Ukueiau[1009990100]
958.04.19={holder=1019913296} #Katshipunasht[1009990100]
977.07.04={holder=1019913300} #Utshimauapeu[1009990100]
1006.01.07={holder=1019913305} #Ukueiau[1009990100]
1024.01.20={holder=1019913310} #Minutshinishkuess[1009990100]
1077.12.09={holder=1019913315} #Manitesh[1009990100]
1085.07.03={holder=1019913319} #Ussinitshishu[1009990100]
1118.07.04={holder=1019913323} #Unikush[1009990100]
1122.11.11={holder=1019913327} #Tshim[1009990100]
1176.11.27={holder=1019913334} #Apinam[1009990100]
1208.10.28={holder=1019913339} #Maikan[1009990100]
1211.03.19={holder=1019913343} #Uitshitshimushish[1009990100]
1232.03.15={holder=1019913345} #Emish[1009990100]
1253.06.14={holder=1019913351} #Manitesh[1009990100]
1289.06.29={holder=1019913355} #Tshim[1009990100]
1305.05.14={holder=1019913362} #Kapapisht[1009990100]
1312.09.27={holder=1019913366} #Atamakaniss[1009990100]
1333.03.07={holder=1019913373} #Kuekuatsheu[1009990100]
