745.1.1={holder=1019929633} #Coyllas[1009990264]
807.02.23={holder=1019929636} #Illapa[1009990264]
844.01.16={holder=1019929637} #Katari[1009990264]
850.06.16={holder=1019929640} #Umu[1009990264]
868.08.04={holder=1019929645} #Marcavilca[1009990264]
911.02.27={holder=1019929647} #Pomaguala[1009990264]
920.05.13={holder=1019929652} #Yupanqui[1009990264]
965.04.08={holder=1019929655} #Umu[1009990264]
992.09.16={holder=1019929658} #Cusichaca[1009990264]
1015.07.27={holder=1019929662} #Curiatao[1009990264]
1040.12.30={holder=1019929665} #Capac[1009990264]
1077.01.04={holder=1019929669} #Pumi[1009990264]
1119.08.03={holder=1019929676} #Capac[1009990264]
1144.12.29={holder=1019929681} #Yamqui[1009990264]
1155.05.23={holder=1019929688} #Titu[1009990264]
1184.09.06={holder=1019929691} #Atoc[1009990264]
1253.08.20={holder=1019929698} #Katari[1009990264]
1258.02.03={holder=1019929702} #Quispe[1009990264]
1259.11.26={holder=1019929707} #Guaritopa[1009990264]
1293.06.28={holder=1019929709} #Cusichaca[1009990264]
1336.09.12={holder=1019929716} #Pumi[1009990264]
1365.12.10={holder=1019929719} #Sopa[1009990264]
1411.01.13={holder=1019929723} #Anquimarca[1009990264]
1430.03.01={holder=1019929725} #Cayo[1009990264]
1451.12.29={holder=1019929731} #Varanca[1009990264]
