665.1.1={holder=1019932099} #Pandey[1009990286]
716.07.16={holder=1019932100} #Paat[1009990286]
735.08.29={holder=1019932105} #Mamuntu[1009990286]
796.02.10={holder=1019932109} #Pangkerego[1009990286]
804.01.02={holder=1019932111} #Mamanua[1009990286]
837.09.30={holder=1019932114} #Sorongan[1009990286]
865.02.03={holder=1019932116} #Tumondo[1009990286]
886.09.11={holder=1019932118} #Poli[1009990286]
894.09.18={holder=1019932122} #Manopo[1009990286]
939.06.05={holder=1019932125} #Ukus[1009990286]
956.06.08={holder=1019932130} #Lumingas[1009990286]
990.01.21={holder=1019932135} #Tumonggor[1009990286]
1008.11.06={holder=1019932138} #"Muntu-Untu"[1009990286]
1016.10.15={holder=1019932143} #Mambo[1009990286]
1029.01.02={holder=1019932148} #Wooy[1009990286]
1054.10.01={holder=1019932152} #Mongisidi[1009990286]
1100.11.17={holder=1019932156} #Wuisan[1009990286]
1147.08.13={holder=1019932160} #Ngantung[1009990286]
1153.11.19={holder=1019932164} #Nender[1009990286]
1192.05.07={holder=1019932166} #Kamagi[1009990286]
1197.10.03={holder=1019932169} #Wulur[1009990286]
1244.05.12={holder=1019932173} #Lumenta[1009990286]
1256.07.23={holder=1019932180} #Pepah[1009990286]
1257.01.14={holder=1019932183} #Tooi[1009990286]
1293.05.02={holder=1019932186} #Piri[1009990286]
1339.07.04={holder=1019932188} #Pangkerego[1009990286]
1383.02.20={holder=1019932192} #Pangau[1009990286]
1404.01.13={holder=1019932195} #Palenteng[1009990286]
1438.01.24={holder=1019932200} #Ilat[1009990286]
1456.06.28={holder=1019932205} #Londok[1009990286]
1460.10.24={holder=1019932210} #Lumenta[1009990286]
