745.1.1={holder=1019928914} #Zopahua[1009990257]
772.07.19={holder=1019928915} #Ninan[1009990257]
828.11.08={holder=1019928919} #Atahualpa[1009990257]
835.11.26={holder=1019928925} #Viracocha[1009990257]
885.03.22={holder=1019928930} #Sayri[1009990257]
906.03.10={holder=1019928938} #Huaypalcon[1009990257]
962.03.03={holder=1019928940} #Luyes[1009990257]
966.08.23={holder=1019928943} #Pumi[1009990257]
995.09.09={holder=1019928950} #Túpac[1009990257]
1028.01.25={holder=1019928953} #Tucuycuyche[1009990257]
1034.01.10={holder=1019928958} #Ninan[1009990257]
1080.09.06={holder=1019928962} #Huáscar[1009990257]
1113.11.21={holder=1019928965} #Topa[1009990257]
1136.11.28={holder=1019928968} #Yamqui[1009990257]
1155.12.29={holder=1019928971} #Ruminavi[1009990257]
1164.03.05={holder=1019928973} #Amaru[1009990257]
1196.01.07={holder=1019928976} #Marcavilca[1009990257]
1219.04.01={holder=1019928979} #Mayta[1009990257]
1227.11.12={holder=1019928986} #Ninan[1009990257]
1276.11.16={holder=1019928990} #Ninan[1009990257]
1299.01.05={holder=1019928993} #Cusi[1009990257]
1310.09.07={holder=1019928994} #Sahuaraura[1009990257]
1351.10.26={holder=1019928996} #Quispe[1009990257]
1371.03.05={holder=1019929003} #Roca[1009990257]
1404.04.08={holder=1019929007} #Ninan[1009990257]
