744.1.1={holder=1019913677} #Atiku[1009990104]
777.02.11={holder=1019913678} #Aissimess[1009990104]
796.04.05={holder=1019913683} #Mishtauiapeu[1009990104]
835.09.05={holder=1019913687} #Utshimauapeu[1009990104]
855.05.04={holder=1019913690} #Tshishkuetutsheunnu[1009990104]
888.07.11={holder=1019913694} #Shuashem[1009990104]
922.09.15={holder=1019913699} #Manitesh[1009990104]
922.12.22={holder=1019913707} #Akuaukusht[1009990104]
939.12.30={holder=1019913709} #Maikan[1009990104]
997.03.30={holder=1019913712} #Tumassat[1009990104]
1007.10.26={holder=1019913717} #Shimiu[1009990104]
1033.12.11={holder=1019913721} #Uniam[1009990104]
1051.08.02={holder=1019913726} #Nutamikuesh[1009990104]
1073.08.04={holder=1019913728} #Pienshak[1009990104]
1092.09.01={holder=1019913735} #Meshkana[1009990104]
1143.11.28={holder=1019913737} #Maikan[1009990104]
1179.06.02={holder=1019913738} #Atamakaniss[1009990104]
1223.07.27={holder=1019913741} #Tshim[1009990104]
1242.09.30={holder=1019913748} #Natupaniu[1009990104]
1257.12.01={holder=1019913752} #Pienshak[1009990104]
1291.06.08={holder=1019913753} #Uniam[1009990104]
1309.12.28={holder=1019913758} #Kautatikumit[1009990104]
1329.12.30={holder=1019913764} #Uemishtikushiss[1009990104]
1363.06.21={holder=1019913766} #Pikutushan[1009990104]
1394.12.13={holder=1019913775} #Manitesh[1009990104]
