745.1.1={holder=1019918012} #Wanahedana[1009990147]
777.06.13={holder=1019918013} #Kagoregago[1009990147]
832.08.31={holder=1019918015} #Auroghteregh[1009990147]
849.02.25={holder=1019918017} #Waddon[1009990147]
856.04.12={holder=1019918024} #Uwhanhierelera[1009990147]
903.11.29={holder=1019918028} #Gosweinquecrakqua[1009990147]
920.09.15={holder=1019918031} #Uwhanhierelera[1009990147]
954.12.28={holder=1019918034} #Gosweinquecrakqua[1009990147]
960.10.09={holder=1019918038} #Nathheldaneh[1009990147]
1005.12.13={holder=1019918042} #Gosweinquecrakqua[1009990147]
1008.09.11={holder=1019918049} #Kagoregago[1009990147]
1032.06.25={holder=1019918056} #Wastahanda[1009990147]
1064.05.24={holder=1019918057} #Gosweinquecrakqua[1009990147]
1093.12.23={holder=1019918061} #Sawahegeh[1009990147]
1135.09.19={holder=1019918064} #Sonque[1009990147]
1171.08.29={holder=1019918068} #Waddon[1009990147]
1185.12.14={holder=1019918071} #Uwhanhierelera[1009990147]
1230.10.03={holder=1019918074} #Uwhanhierelera[1009990147]
1237.02.21={holder=1019918077} #Sonque[1009990147]
1283.03.12={holder=1019918080} #Wastahanda[1009990147]
1308.08.02={holder=1019918086} #Nathheldaneh[1009990147]
1320.08.19={holder=1019918093} #Sawahegeh[1009990147]
1359.02.17={holder=1019918100} #Hago[1009990147]
1366.06.05={holder=1019918105} #Kagoregago[1009990147]
1410.08.10={holder=1019918107} #Sonque[1009990147]
