744.1.1={holder=1019914975} #Kilaun[1009990117]
787.12.19={holder=1019914976} #Asiavik[1009990117]
789.12.21={holder=1019914979} #Pattangayok[1009990117]
807.01.28={holder=1019914984} #Siku[1009990117]
853.09.16={holder=1019914986} #Chugiak[1009990117]
885.10.01={holder=1019914990} #Sinaaq[1009990117]
889.06.07={holder=1019914992} #Tungortok[1009990117]
915.11.14={holder=1019914996} #Aumanil[1009990117]
954.08.16={holder=1019914998} #Tulugaq[1009990117]
980.01.01={holder=1019915003} #Atka[1009990117]
994.11.30={holder=1019915005} #Uyarak[1009990117]
1054.04.24={holder=1019915009} #Sesi[1009990117]
1058.10.31={holder=1019915014} #Putyuk[1009990117]
1076.04.14={holder=1019915018} #Iluliaq[1009990117]
1093.11.10={holder=1019915025} #Tiglikte[1009990117]
1155.05.22={holder=1019915028} #sinniktok[1009990117]
1177.07.16={holder=1019915032} #Maniitok[1009990117]
1198.10.30={holder=1019915038} #Qaniit[1009990117]
1201.10.13={holder=1019915046} #Illiivat[1009990117]
1243.07.31={holder=1019915050} #Hey[1009990117]
1248.03.17={holder=1019915053} #Ataneq[1009990117]
1266.01.02={holder=1019915058} #Kanut[1009990117]
1295.01.02={holder=1019915062} #Pukiq[1009990117]
1319.04.12={holder=1019915066} #Itigiaq[1009990117]
1375.10.17={holder=1019915068} #Qatqain[1009990117]
