665.1.1={holder=1019931006} #Taffounnout[1009990277]
716.02.13={holder=1019931007} #Izri[1009990277]
722.03.16={holder=1019931010} #Anwa[1009990277]
768.01.23={holder=1019931017} #Masgaba[1009990277]
791.06.10={holder=1019931020} #Igider[1009990277]
828.10.10={holder=1019931022} #Adergazuz[1009990277]
830.10.31={holder=1019931025} #Himmi[1009990277]
897.11.06={holder=1019931032} #Itri[1009990277]
904.10.15={holder=1019931037} #Awdia[1009990277]
918.02.20={holder=1019931041} #Anwa[1009990277]
955.03.18={holder=1019931045} #Xamida[1009990277]
961.04.12={holder=1019931052} #Amellal[1009990277]
993.04.15={holder=1019931056} #Agwillul[1009990277]
1032.11.16={holder=1019931059} #Amray[1009990277]
1059.06.13={holder=1019931064} #Wahab[1009990277]
1089.05.16={holder=1019931067} #Ambay[1009990277]
1091.08.02={holder=1019931072} #N'Guna[1009990277]
1102.10.24={holder=1019931077} #Abdul-Rahman[1009990277]
1150.08.26={holder=1019931082} #Ifni[1009990277]
1181.02.18={holder=1019931087} #Ghani[1009990277]
1219.11.18={holder=1019931089} #Akateiaji[1009990277]
1233.09.26={holder=1019931092} #Zubeyr[1009990277]
1290.03.08={holder=1019931096} #TariqTegama[1009990277]
1316.01.21={holder=1019931100} #Xamida[1009990277]
1317.03.23={holder=1019931104} #Meq'wran[1009990277]
1359.10.07={holder=1019931109} #Musa[1009990277]
1368.10.22={holder=1019931114} #Sammer[1009990277]
1393.09.19={holder=1019931119} #Alyamas[1009990277]
1418.11.11={holder=1019931121} #Uregh[1009990277]
1454.06.19={holder=1019931126} #Amellal[1009990277]
1483.06.30={holder=1019931128} #Gildun[1009990277]
