745.1.1={holder=1019917182} #Huritt[1009990139]
795.07.23={holder=1019917183} #Sunukkuhkau[1009990139]
818.10.29={holder=1019917186} #Sunukkuhkau[1009990139]
841.07.07={holder=1019917190} #Samoset[1009990139]
852.05.14={holder=1019917196} #Hassun[1009990139]
907.04.01={holder=1019917199} #Nixkamich[1009990139]
924.08.27={holder=1019917203} #Abooksigun[1009990139]
934.07.29={holder=1019917207} #Etchemin[1009990139]
972.07.25={holder=1019917211} #Tihkoosue[1009990139]
994.09.03={holder=1019917217} #Ahanu[1009990139]
1018.11.18={holder=1019917220} #Askook[1009990139]
1037.07.06={holder=1019917226} #Chansomps[1009990139]
1087.03.30={holder=1019917230} #Ahanu[1009990139]
1101.12.10={holder=1019917237} #Abooksigun[1009990139]
1136.03.16={holder=1019917239} #Anakausuen[1009990139]
1148.11.14={holder=1019917246} #Matunaagd[1009990139]
1181.07.12={holder=1019917250} #Keme[1009990139]
1186.05.26={holder=1019917255} #Sucki[1009990139]
1206.07.13={holder=1019917259} #Chogan[1009990139]
1261.08.08={holder=1019917263} #Nootau[1009990139]
1269.08.08={holder=1019917268} #Nootau[1009990139]
1321.08.09={holder=1019917271} #Nixkamich[1009990139]
1344.11.05={holder=1019917275} #Matchitehew[1009990139]
1358.05.24={holder=1019917278} #Powaw[1009990139]
1411.01.12={holder=1019917283} #Etlelooaat[1009990139]
