745.1.1={holder=1019916879} #Fonegawne[1009990136]
805.12.18={holder=1019916880} #Paymusawtom[1009990136]
826.10.08={holder=1019916884} #Mayto[1009990136]
827.05.04={holder=1019916888} #Pashkobwis[1009990136]
848.04.07={holder=1019916893} #Kogkakeshik[1009990136]
879.09.27={holder=1019916899} #Misheneanonquet[1009990136]
910.02.09={holder=1019916903} #Nuwagon[1009990136]
978.10.23={holder=1019916907} #Pashkeekou[1009990136]
994.12.22={holder=1019916910} #Neebeenaquin[1009990136]
995.08.19={holder=1019916915} #Ogeebouinse[1009990136]
1046.05.21={holder=1019916916} #Okumanpinase[1009990136]
1082.11.15={holder=1019916921} #Wawaubequak[1009990136]
1122.06.28={holder=1019916925} #Keyacum[1009990136]
1123.06.02={holder=1019916928} #Markkenwuwbe[1009990136]
1142.11.02={holder=1019916931} #Shashebak[1009990136]
1152.11.09={holder=1019916935} #Kewaytinam[1009990136]
1220.02.21={holder=1019916939} #Shimnanaquette[1009990136]
1241.12.28={holder=1019916943} #Minggeeseetay[1009990136]
1255.09.26={holder=1019916946} #Peshquescum[1009990136]
1308.03.08={holder=1019916949} #Shimnanaquette[1009990136]
1336.12.11={holder=1019916952} #Endus[1009990136]
1378.04.22={holder=1019916957} #Mutchwetau[1009990136]
1380.11.25={holder=1019916964} #Shaconk[1009990136]
1425.11.11={holder=1019916967} #Nemetetowwa[1009990136]
1433.03.23={holder=1019916971} #Ogemaunkeketo[1009990136]
