744.1.1={holder=1019921441} #Nahumastabbe[1009990182]
791.08.03={holder=1019921443} #Tiupoye[1009990182]
817.06.26={holder=1019921447} #Tootehooma[1009990182]
856.10.26={holder=1019921451} #Tushtallay[1009990182]
867.11.20={holder=1019921453} #Tootehoma[1009990182]
925.05.13={holder=1019921458} #Shishemastubby[1009990182]
956.09.26={holder=1019921460} #Canelechabe[1009990182]
960.11.13={holder=1019921464} #Pushihumachito[1009990182]
979.04.18={holder=1019921468} #Steabee[1009990182]
1033.05.02={holder=1019921475} #Pushmataha[1009990182]
1073.05.29={holder=1019921478} #Tuskonahopoia[1009990182]
1075.09.28={holder=1019921481} #Tobocoh[1009990182]
1124.10.24={holder=1019921483} #Chucaastabe[1009990182]
1168.10.09={holder=1019921487} #Puchihuma[1009990182]
1176.10.11={holder=1019921490} #Asetahuma[1009990182]
1200.06.08={holder=1019921494} #Canelechabe[1009990182]
1219.11.21={holder=1019921497} #Tootahomo[1009990182]
1248.06.19={holder=1019921504} #Chulomastubee[1009990182]
1292.10.06={holder=1019921508} #Puchihuma[1009990182]
1304.12.25={holder=1019921516} #Iteleskana[1009990182]
1325.11.15={holder=1019921521} #Oclactahuma[1009990182]
1382.03.07={holder=1019921523} #Cachuaanchabe[1009990182]
1386.12.24={holder=1019921525} #Oechanyimastabe[1009990182]
1430.08.08={holder=1019921532} #Hochehomo[1009990182]
1440.01.31={holder=1019921537} #Mastape[1009990182]
