745.1.1={holder=1019912684} #Nutamikuesh[1009990094]
794.02.06={holder=1019912685} #Katshipunasht[1009990094]
794.02.09={holder=1019912688} #Napeutiku[1009990094]
821.10.16={holder=1019912692} #Shakani[1009990094]
836.01.08={holder=1019912696} #Mishen[1009990094]
881.05.26={holder=1019912699} #Akuaukusht[1009990094]
904.11.21={holder=1019912703} #Pekissiu[1009990094]
924.02.15={holder=1019912708} #Shuashem[1009990094]
961.03.14={holder=1019912712} #Uemishtikushiss[1009990094]
973.10.06={holder=1019912715} #Tshishkuetutsheunnu[1009990094]
995.03.13={holder=1019912719} #Uemishtikushiss[1009990094]
1013.07.03={holder=1019912726} #Shakani[1009990094]
1045.10.20={holder=1019912730} #Mishtauiapeu[1009990094]
1079.11.06={holder=1019912737} #Apinam[1009990094]
1110.05.23={holder=1019912740} #Akuaukusht[1009990094]
1135.01.15={holder=1019912748} #Tshishennish[1009990094]
1165.08.31={holder=1019912749} #Ashtunishish[1009990094]
1210.03.03={holder=1019912753} #Aissimess[1009990094]
1212.04.20={holder=1019912755} #Manitesh[1009990094]
1231.07.13={holder=1019912760} #Upinau[1009990094]
1255.07.11={holder=1019912766} #Uatshitshish[1009990094]
1288.12.16={holder=1019912771} #Napeutiku[1009990094]
1331.05.11={holder=1019912774} #Kaniuekutat[1009990094]
1352.08.08={holder=1019912776} #Katshipunasht[1009990094]
1378.09.11={holder=1019912781} #Pekissiu[1009990094]
