745.1.1={holder=1019911589} #Chulyin[1009990083]
782.01.04={holder=1019911590} #Cikuq[1009990083]
830.01.05={holder=1019911594} #Tlate[1009990083]
839.03.19={holder=1019911597} #Ningakpok[1009990083]
862.07.10={holder=1019911601} #Karpok[1009990083]
870.12.28={holder=1019911606} #Torngasak[1009990083]
890.02.08={holder=1019911610} #Kanosak[1009990083]
935.01.17={holder=1019911612} #Aumanil[1009990083]
973.05.30={holder=1019911614} #Tipvigut[1009990083]
982.02.23={holder=1019911617} #Nutaaq[1009990083]
996.10.21={holder=1019911622} #Corazon[1009990083]
1037.12.03={holder=1019911627} #Ikniqpalagaq[1009990083]
1054.07.17={holder=1019911633} #Tomkin[1009990083]
1082.07.28={holder=1019911637} #Miksa[1009990083]
1122.09.08={holder=1019911641} #Siku[1009990083]
1151.06.03={holder=1019911644} #Aguta[1009990083]
1166.04.14={holder=1019911648} #Putyuk[1009990083]
1231.08.29={holder=1019911652} #Kulitak[1009990083]
1248.01.22={holder=1019911654} #Assiminik[1009990083]
1261.07.20={holder=1019911661} #Iluliaq[1009990083]
1299.05.25={holder=1019911666} #Cikuq[1009990083]
1325.01.03={holder=1019911671} #Kappianartok[1009990083]
1337.10.16={holder=1019911673} #Tartok[1009990083]
1382.11.10={holder=1019911674} #Tupilek[1009990083]
1395.10.21={holder=1019911677} #Sinaaq[1009990083]
