744.1.1={holder=1019913882} #Uitshitshimushish[1009990106]
770.04.22={holder=1019913884} #Aissimess[1009990106]
800.11.08={holder=1019913890} #Pikutushan[1009990106]
822.03.21={holder=1019913892} #Tshishkuetutsheunnu[1009990106]
844.03.08={holder=1019913896} #Mishta-Etuat[1009990106]
883.10.01={holder=1019913898} #Tshim[1009990106]
910.06.24={holder=1019913902} #Maniteu[1009990106]
931.07.25={holder=1019913906} #Atshen[1009990106]
962.01.24={holder=1019913907} #Kautatikumit[1009990106]
993.05.03={holder=1019913911} #Pien[1009990106]
1009.07.08={holder=1019913915} #Utanukueu[1009990106]
1026.11.09={holder=1019913920} #Maikan[1009990106]
1069.01.29={holder=1019913925} #Apinam[1009990106]
1075.08.11={holder=1019913927} #Mishen[1009990106]
1135.10.06={holder=1019913929} #Utshimauapeu[1009990106]
1157.06.19={holder=1019913932} #Uatshitshish[1009990106]
1183.12.25={holder=1019913933} #Akuaukusht[1009990106]
1194.03.29={holder=1019913937} #Shakani[1009990106]
1213.02.18={holder=1019913940} #Utshimau[1009990106]
1233.01.28={holder=1019913945} #Napess[1009990106]
1261.02.19={holder=1019913951} #Aissimess[1009990106]
1290.10.26={holder=1019913956} #Minapakun[1009990106]
1322.07.09={holder=1019913960} #Uatshitshish[1009990106]
1338.01.29={holder=1019913966} #Nutamikuesh[1009990106]
1366.04.04={holder=1019913970} #Shinipesht[1009990106]
