745.1.1={holder=1019912577} #Mishen[1009990093]
767.05.12={holder=1019912578} #Kapapisht[1009990093]
818.12.30={holder=1019912584} #Pitan[1009990093]
826.10.31={holder=1019912585} #Shushepiss[1009990093]
847.03.10={holder=1019912593} #Tshakashue[1009990093]
876.12.05={holder=1019912595} #Minutshinishkuess[1009990093]
917.11.07={holder=1019912603} #Shimiu[1009990093]
947.05.08={holder=1019912606} #Ussinitshishu[1009990093]
970.09.20={holder=1019912610} #Mishta-Napesh[1009990093]
977.02.04={holder=1019912614} #Atamakaniss[1009990093]
1003.07.05={holder=1019912621} #Kaniuekutat[1009990093]
1047.05.31={holder=1019912624} #Ussinitshishu[1009990093]
1052.02.20={holder=1019912629} #Tshishennish[1009990093]
1090.12.13={holder=1019912634} #Pien[1009990093]
1102.12.13={holder=1019912639} #Ukueiau[1009990093]
1139.03.26={holder=1019912644} #Napeutiku[1009990093]
1154.04.05={holder=1019912648} #Tshakashue[1009990093]
1182.04.08={holder=1019912653} #Mishta-Etuat[1009990093]
1212.06.05={holder=1019912660} #Meshkana[1009990093]
1239.03.30={holder=1019912662} #Shimiu[1009990093]
1271.10.12={holder=1019912666} #Tshani[1009990093]
1289.08.14={holder=1019912669} #Katshipunasht[1009990093]
1296.02.11={holder=1019912673} #Shushep[1009990093]
1334.07.01={holder=1019912677} #Pipitsheu[1009990093]
1342.07.07={holder=1019912679} #Kanishutakashtasht[1009990093]
