745.1.1={holder=1019928817} #Sahuaraura[1009990256]
780.05.16={holder=1019928818} #Túpac[1009990256]
814.04.09={holder=1019928825} #Yupanqui[1009990256]
823.05.27={holder=1019928829} #Huayna[1009990256]
882.03.11={holder=1019928832} #Villac[1009990256]
916.03.12={holder=1019928839} #Amaru[1009990256]
946.03.08={holder=1019928843} #Yupanqui[1009990256]
967.02.22={holder=1019928849} #Atoc[1009990256]
976.07.05={holder=1019928853} #Coyllas[1009990256]
1030.05.30={holder=1019928858} #Topa[1009990256]
1054.02.28={holder=1019928859} #Villac[1009990256]
1083.07.31={holder=1019928862} #Titu[1009990256]
1096.06.14={holder=1019928869} #Orco[1009990256]
1126.01.31={holder=1019928873} #Yupanqui[1009990256]
1148.06.02={holder=1019928877} #Huachuri[1009990256]
1162.11.29={holder=1019928880} #Cayo[1009990256]
1190.01.27={holder=1019928884} #Varanca[1009990256]
1236.06.15={holder=1019928888} #Roca[1009990256]
1268.01.11={holder=1019928892} #Pachacútec[1009990256]
1282.01.28={holder=1019928895} #Huayna[1009990256]
1331.05.30={holder=1019928897} #Pachacútec[1009990256]
1333.04.16={holder=1019928901} #Pomaguala[1009990256]
1391.02.05={holder=1019928905} #Túpac[1009990256]
1396.05.06={holder=1019928908} #Zopahua[1009990256]
1443.07.17={holder=1019928910} #Pachacútec[1009990256]
