665.1.1={holder=1019932213} #Bokau[1009990287]
742.01.07={holder=1019932215} #Dungus[1009990287]
754.11.26={holder=1019932218} #Wuntu[1009990287]
778.04.29={holder=1019932222} #Bolang[1009990287]
795.02.28={holder=1019932226} #Tindengen[1009990287]
822.04.13={holder=1019932232} #Suak[1009990287]
833.09.02={holder=1019932236} #Gumalag[1009990287]
892.02.02={holder=1019932238} #Pendang[1009990287]
911.04.04={holder=1019932244} #Gigir[1009990287]
944.06.25={holder=1019932247} #Rembet[1009990287]
960.04.27={holder=1019932250} #Dimpudus[1009990287]
978.04.28={holder=1019932255} #Rondonuwu[1009990287]
1028.10.21={holder=1019932262} #Ombeng[1009990287]
1032.09.25={holder=1019932268} #Piay[1009990287]
1074.09.15={holder=1019932269} #Somba[1009990287]
1106.02.04={holder=1019932273} #Limbong[1009990287]
1126.12.27={holder=1019932276} #Tombeng[1009990287]
1153.07.25={holder=1019932280} #Gumansing[1009990287]
1188.11.15={holder=1019932283} #Tumondo[1009990287]
1202.02.23={holder=1019932288} #Tongkeles[1009990287]
1229.07.29={holder=1019932292} #Ekel[1009990287]
1253.06.21={holder=1019932298} #Rengku[1009990287]
1295.11.27={holder=1019932299} #Repi[1009990287]
1326.03.28={holder=1019932303} #Rolangon[1009990287]
1353.10.27={holder=1019932307} #Mangowal[1009990287]
1366.08.06={holder=1019932311} #Worang[1009990287]
1405.07.12={holder=1019932318} #Pitoy[1009990287]
1405.08.27={holder=1019932321} #Goniwala[1009990287]
1467.07.12={holder=1019932323} #Wuwungan[1009990287]
1470.12.13={holder=1019932326} #Kusoi[1009990287]
1471.04.14={holder=1019932330} #Tampanatu[1009990287]
