744.1.1={holder=1019919042} #Tehonwaenghrigagi[1009990157]
795.05.17={holder=1019919043} #Kendarindgon[1009990157]
808.03.12={holder=1019919046} #Oneatorleeooh[1009990157]
824.07.15={holder=1019919050} #Oneshauee[1009990157]
856.07.10={holder=1019919054} #Sohhonteoquent[1009990157]
872.09.03={holder=1019919056} #Ounnashattakau[1009990157]
898.03.03={holder=1019919058} #Soononhquaukau[1009990157]
933.10.04={holder=1019919062} #Thayendanega[1009990157]
965.03.28={holder=1019919066} #Kaungyanehquee[1009990157]
984.09.17={holder=1019919072} #Sawedowa[1009990157]
1016.01.17={holder=1019919078} #Snoachshowa[1009990157]
1040.01.12={holder=1019919084} #Sooayoowau[1009990157]
1051.07.18={holder=1019919087} #Onecnsetee[1009990157]
1079.01.05={holder=1019919090} #Ooduhtsait[1009990157]
1102.03.08={holder=1019919092} #Cageaga[1009990157]
1157.12.03={holder=1019919096} #Aupaumut[1009990157]
1160.04.21={holder=1019919101} #Kiandogewa[1009990157]
1194.07.01={holder=1019919104} #Oneshauee[1009990157]
1210.12.15={holder=1019919108} #Oncahye[1009990157]
1248.12.16={holder=1019919114} #Tehongyoowush[1009990157]
1272.12.10={holder=1019919115} #Sauhtakaongyees[1009990157]
1329.09.01={holder=1019919120} #Oojaugenta[1009990157]
1331.07.24={holder=1019919127} #Sawedowa[1009990157]
1342.12.07={holder=1019919134} #Thayendanega[1009990157]
1409.06.04={holder=1019919141} #Konoohqung[1009990157]
