745.1.1={holder=1019919856} #Xipilli[1009990166]
783.07.27={holder=1019919857} #Nezahualcoyotl[1009990166]
798.04.21={holder=1019919862} #Chimalpopoca[1009990166]
837.04.27={holder=1019919869} #Maxtla[1009990166]
876.03.16={holder=1019919874} #Xicohtencatl[1009990166]
894.11.12={holder=1019919881} #Tlaloc[1009990166]
895.01.08={holder=1019919888} #Acamapichtli[1009990166]
942.08.11={holder=1019919890} #Ahuitzotl[1009990166]
987.05.26={holder=1019919893} #Xicohtencatl[1009990166]
990.07.31={holder=1019919896} #Itzcuintli[1009990166]
1030.12.25={holder=1019919900} #Cuixtli[1009990166]
1053.06.17={holder=1019919904} #Nezahualpilli[1009990166]
1091.07.11={holder=1019919908} #Cacamatzin[1009990166]
1134.05.14={holder=1019919910} #Miztli[1009990166]
1136.12.24={holder=1019919914} #Cuixtli[1009990166]
1180.02.26={holder=1019919919} #Zipactonal[1009990166]
1201.05.12={holder=1019919923} #Olli[1009990166]
1239.03.16={holder=1019919931} #Quauhtli[1009990166]
1258.06.13={holder=1019919934} #Acalan[1009990166]
1287.09.16={holder=1019919939} #Cuetzpalli[1009990166]
1313.07.19={holder=1019919943} #Matlatzincatzin[1009990166]
1343.01.18={holder=1019919949} #Ueman[1009990166]
1371.01.05={holder=1019919953} #Necuametl[1009990166]
1403.06.01={holder=1019919956} #Matlal[1009990166]
1456.11.22={holder=1019919961} #Mahchimaleh[1009990166]
