985.1.1={
	law = succ_primogeniture
	law = agnatic_succession
}


987.1.1 = {
              holder=1019920285
}

1017.03.19={holder=1019920288} #Cuetzpalli[1009990170]
1023.08.27={holder=1019920293} #Cuixtli[1009990170]
1036.08.08={holder=1019920297} #Tapayaxi[1009990170]
1095.03.13={holder=1019920298} #Tecocoltzin[1009990170]
1118.09.26={holder=1019920301} #Acamapichtli[1009990170]
1172.10.20={holder=1019920304} #Yaotl[1009990170]
1194.07.19={holder=1019920306} #Tochtli[1009990170]
1218.04.09={holder=1019920310} #Huitzitl[1009990170]
1248.05.19={holder=1019920314} #Cuixtli[1009990170]
1252.07.10={holder=1019920316} #Nochehuatl[1009990170]
1284.03.07={holder=1019920324} #Matlal[1009990170]
1332.09.20={holder=1019920326} #Nezahualcoyotl[1009990170]
1346.03.25={holder=1019920330} #Yolotli[1009990170]
1374.01.09={holder=1019920333} #Cuetlachtli[1009990170]
1409.02.04={holder=1019920337} #Tetlepanquetzaltzin[1009990170]
1430.08.02={holder=1019920341} #Ocuil[1009990170]
